place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNwbjdiS01BEAE,1,Blatantly racist bouncers.,a year ago,2023-09-04 12:30:29.153141,,,,1,3,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNwbTRhVVpREAE,2,Sound system was mid af for Tokimonsta.,a year ago,2023-09-04 12:30:29.159291,,,,1,56,8,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNwdGFuQjlRRRAB,5,,a year ago,2023-09-04 12:30:29.165905,,,,0,35,16,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNwNU1uWnVnRRAB,1,"If youre a woman that likes being nearly abducted while security does nothing but watch, come here!",a year ago,2023-09-04 12:30:29.173290,,,,3,1,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNweFByZmlBRRAB,5,"February 22, 2k19 voyage to SF. I literally did this trip in 24 hrs. I stayed at a random hostle to catch Otis Jackson Jr. Aka MADLIBs DJ set. This was perhaps one of my favorite days of all time. This spontaneous trip took me out of my shell. The hostle was filled with foreigners from different parts of the globe. There was a cool group of Brazilians staying there. I was able to pregame before the show. To my surprise, one hour into the set the mighty Mos Def (now known as Yasiin Bey) arrived spontaneously! Then another hour goes by, and the man, the myth, the legend- DAVE CHAPPELLE ARRIVES! The club didnt stop till like 3am. What a night!!! I got all my records signed and even got daves signature on a classic hiphop album! Lol i snuck on stage   Legendary night for sure! S/o to all my fellow Underground hip hop enthusiasts",a year ago,2023-09-04 12:30:29.179447,,,,4,100,724,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNKNDk3cnJRRRAB,5,Have good quality and Lowe price,a year ago,2023-09-04 12:30:29.186355,,,,0,1,5,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUR4MzZqcmd3RRAB,1,"Worst club ever. It s such like wasting my time to write a review here . The way that security team treated us yesterday night was so disrespectful. You guys are so rude. Should respect our time and money. We paid for 60$ and couldn t even go inside with their stupid reasons, decisions and assumptions. So regret that we choose that stupid club to see seven lions event. Dont get too proud in your life thinking that you can do whatever you think. Just try to focus on working to improve the club. Stupid staffs ever.",a year ago,2023-09-04 12:30:29.193064,,,,8,2,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUR4ejl1NlVnEAE,1,"On the Sevenlions after party day, my girlfriend was denied entry to the club by the gate security guard. Because of the weather, my partner was shaking and cold. The security guard(woman guard)at the gate claimed that my girlfriend was intoxicated and blocked her from entering even though she hadnt used any drugs at all. The security guard is far too prejudiced,  and the club has to respond to this criticism right away. Additionally, the club was accepting illegal rear entry entries by accepting cash payments. In my opinion, occurred as a result of the club letting more people through the rear entrance.",a year ago,2023-09-04 12:30:29.758736,,,,6,1,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUR4bnF1Mlh3EAE,5,,a year ago,2023-09-04 12:30:29.768024,,,,0,16,26,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUR4OXNIOEZBEAE,5,Small but good vibes,a year ago,2023-09-04 12:30:29.777072,,,,0,4,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUR4b295Q3h3RRAB,5,,a year ago,2023-09-04 12:30:29.784625,,,,0,32,4,True,,
